QTY,Name,Type,URL
2,杜娟,Trainer,http://localhost:4000/src/img/en/ASR/ASR_150_R_EN.png
4,交替推车,Trainer,http://localhost:4000/src/img/en/ASR/ASR_154_R_EN.png
1,Radiant Greninja,Pokémon,http://localhost:4000/src/img/en/ASR/ASR_46_R_EN.png
3,基本水能量,Energy,http://localhost:4000/src/img/en/CIN/CIN_124_R_EN.png
4,Path to the Peak,Trainer,http://localhost:4000/src/img/en/CRE/CRE_148_R_EN.png
4,Battle VIP Pass,Trainer,http://localhost:4000/src/img/en/FST/FST_225_R_EN.png
3,基本草能量,Energy,http://localhost:4000/src/img/en/GRI/GRI_167_R_EN.png
3,Giratina V,Pokémon,http://localhost:4000/src/img/en/LOR/LOR_130_R_EN.png
3,Giratina VSTAR,Pokémon,http://localhost:4000/src/img/en/LOR/LOR_131_R_EN.png
4,Colress's Experiment,Trainer,http://localhost:4000/src/img/en/LOR/LOR_155_R_EN.png
4,Mirage Gate,Trainer,http://localhost:4000/src/img/en/LOR/LOR_163_R_EN.png
1,Cramorant,Pokémon,http://localhost:4000/src/img/en/LOR/LOR_50_R_EN.png
2,Sableye,Pokémon,http://localhost:4000/src/img/en/LOR/LOR_70_R_EN.png
4,Comfey,Pokémon,http://localhost:4000/src/img/en/LOR/LOR_79_R_EN.png
4,Nest Ball,Trainer,http://localhost:4000/src/img/en/PAF/PAF_84_R_EN.png
2,老大的指令,Trainer,http://localhost:4000/src/img/en/PAL/PAL_172_R_EN.png
2,Super Rod,Trainer,http://localhost:4000/src/img/en/PAL/PAL_188_R_EN.png
4,Jet Energy,Energy,http://localhost:4000/src/img/en/PAL/PAL_190_R_EN.png
2,Counter Catcher,Trainer,http://localhost:4000/src/img/en/PAR/PAR_160_R_EN.png
4,基本超能量,Energy,http://localhost:4000/src/img/en/SUM/SUM_162_R_EN.png
