QTY,Name,Type,URL
4,泪眼蜥,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/023.png
4,变涩蜥,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1aC/016.png
2,千面避役,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/025.png
2,千面避役,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1aC/017.png
4,强颚鸡母虫,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2DC/025.png
4,虫电宝,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2DC/103.png
4,锹农炮虫,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4aC/054.png
2,瓦斯弹,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2.5C/017.png
1,梦幻,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2bC/056.png
3,霍米加,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2.5C/055.png
1,博士的研究,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/403.png
1,克拉拉,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/060.png
1,老大的指令,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/406.png
1,莉佳的款待,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2DC/294.png
1,祈祷师,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2.5C/054.png
4,等级球,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3bC/107.png
4,进化熏香,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/011.png
4,救援行李箱,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4aC/120.png
4,神奇糖果,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/376.png
2,回收网,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1.5C/043.png
1,山谷回声喇叭,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/057.png
4,捕获能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1.5C/055.png
2,基本水能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/WAT.png
