QTY,Name,Type,URL
4,阿尔宙斯V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSNC/009.png
2,阿尔宙斯VSTAR,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS5aC/107.png
3,乌贼王V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1bC/076.png
3,乌贼王VMAX,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1bC/077.png
2,大牙狸,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS5bC/111.png
2,大尾狸,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS5aC/105.png
1,叉字蝠V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS2bC/074.png
1,胡帕V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4bC/079.png
4,玛俐,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/022.png
3,裁判,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3DC/154.png
3,老大的指令,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/406.png
1,奇巴纳,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4aC/125.png
4,粉碎之锤,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/372.png
4,先机球,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/010.png
3,进化熏香,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/011.png
2,高级球,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/375.png
1,宝可梦交替,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/377.png
1,道具拆除器,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1.5C/047.png
1,离洞绳,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3DC/127.png
2,通顶雪道,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/063.png
1,讲究腰带,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSNC/018.png
8,基本恶能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/DAR.png
4,双重涡轮能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSNC/024.png
