QTY,Name,Type,URL
4,泪眼蜥,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/023.png
3,变涩蜥,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1aC/016.png
2,千面避役,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/025.png
1,千面避役,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1aC/017.png
3,叶伊布V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4aC/008.png
2,叶伊布VMAX,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4aC/009.png
1,叶伊布VSTAR,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS5DC/011.png
1,霓虹鱼V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS5bC/049.png
1,水君V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4.5C/008.png
2,老大的指令,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/406.png
2,玛俐,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/022.png
2,美蓉,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3DC/165.png
1,奇巴纳,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4aC/125.png
1,赛宝利,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/061.png
3,等级球,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3bC/107.png
3,进化熏香,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/011.png
3,先机球,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/010.png
2,回收网,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1.5C/043.png
1,宝可梦交替,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/377.png
1,潮漩扇,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3bC/105.png
1,道具拆除器,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1.5C/047.png
1,朋友手册,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1DC/174.png
1,山谷回声喇叭,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/057.png
1,足量水桶,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1.5C/046.png
3,伽勒尔矿山,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1.5C/051.png
1,神奥神殿,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS5bC/128.png
2,讲究腰带,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSNC/018.png
1,坚韧斗篷,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS2aC/105.png
1,雪叶徽章,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4.5C/054.png
4,基本草能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/GRA.png
3,基本水能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/WAT.png
2,捕获能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1.5C/055.png
