QTY,Name,Type,URL
4,好啦鱿,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/033.png
4,乌贼王,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/034.png
4,泡沫栗鼠,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1bC/111.png
3,奇诺栗鼠,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1bC/112.png
3,铁炮鱼,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3DC/028.png
3,章鱼桶,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3DC/029.png
1,玛纳霏,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS5bC/052.png
4,可尔妮的气势,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3DC/152.png
4,竹兰的霸气,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSNC/020.png
1,老大的指令,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/406.png
4,等级球,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3bC/107.png
4,对战会员通行证,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4.5C/052.png
4,进化熏香,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/011.png
4,雾之水晶,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3DC/132.png
2,普通钓竿,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/014.png
1,救援行李箱,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4aC/120.png
1,离洞绳,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3DC/127.png
2,水之塔,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3bC/121.png
4,螺旋能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/065.png
3,基本超能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/PSY.png
