QTY,Name,Type,URL
4,泪眼蜥,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/023.png
4,变涩蜥,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1aC/016.png
2,千面避役,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1aC/017.png
1,千面避役,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/025.png
2,伽勒尔 火焰鸟,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4aC/083.png
2,雷公V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/137.png
1,梦幻,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2bC/056.png
1,梦幻,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSDC/002.png
1,胡帕,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS2bC/089.png
1,伽勒尔 闪电鸟V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3aC/060.png
1,捷拉奥拉,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS2bC/041.png
1,伊裴尔塔尔,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSDC/012.png
2,奇巴纳,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4aC/125.png
1,博士的研究,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/403.png
1,克拉拉,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/060.png
1,老大的指令,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/406.png
1,玛俐,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/022.png
1,赛宝利,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/061.png
1,索妮亚,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/018.png
4,等级球,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3bC/107.png
3,回收网,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1.5C/043.png
3,进化熏香,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/011.png
3,先机球,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/010.png
2,能量输送,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/367.png
1,离洞绳,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3DC/127.png
1,能量回收,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/365.png
1,能量转移,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/366.png
1,朋友手册,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1DC/174.png
1,格斗道场,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2DC/335.png
1,训练场地,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/023.png
1,回转滑板,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2DC/289.png
5,基本恶能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/DAR.png
2,基本雷能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/LIG.png
1,基本斗能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/FIG.png
1,基本水能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/WAT.png
