QTY,Name,Type,URL
3,Red & Blue,Trainer,http://localhost:4000/src/img/en/CEC/CEC_202_R_EN.png
2,Sneasel,Pokémon,http://localhost:4000/src/img/en/CRE/CRE_30_R_EN.png
1,伽勒尔 闪电鸟V,Pokémon,http://localhost:4000/src/img/en/CRE/CRE_80_R_EN.png
2,伽勒尔 火焰鸟V,Pokémon,http://localhost:4000/src/img/en/CRE/CRE_97_R_EN.png
1,Galarian Moltres,Pokémon,http://localhost:4000/src/img/en/EVS/EVS_93_R_EN.png
4,老大的指令,Trainer,http://localhost:4000/src/img/en/SHF/SHF_58_R_EN.png
1,Greninja & Zoroark-GX,Pokémon,http://localhost:4000/src/img/en/UNB/UNB_107_R_EN.png
3,咚咚鼠GX,Pokémon,http://localhost:4000/src/img/en/UNB/UNB_57_R_EN.png
1,玛夏多,Pokémon,http://localhost:4000/src/img/en/UNB/UNB_81_R_EN.png
2,Umbreon & Darkrai-GX,Pokémon,http://localhost:4000/src/img/en/UNM/UNM_125_R_EN.png
1,Mega Sableye & Tyranitar-GX,Pokémon,http://localhost:4000/src/img/en/UNM/UNM_126_R_EN.png
1,Sneasel,Pokémon,http://localhost:4000/src/img/en/UNM/UNM_131_R_EN.png
3,Weavile-GX,Pokémon,http://localhost:4000/src/img/en/UNM/UNM_132_R_EN.png
2,Mewtwo & Mew-GX,Pokémon,http://localhost:4000/src/img/en/UNM/UNM_71_R_EN.png
