QTY,Name,Type,URL
2,伽勒尔 火焰鸟V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/041.png
2,炎帝V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/056.png
1,青绵鸟,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4bC/109.png
1,七夕青鸟,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4bC/091.png
1,百变怪V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS2.5C/038.png
1,藏玛然特V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/313.png
1,叉字蝠V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS2bC/074.png
1,咚咚鼠GX,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2DC/102.png
1,胡帕V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4bC/079.png
1,伽勒尔 闪电鸟V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3aC/060.png
1,雷公V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/137.png
1,玛夏多,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2.5C/023.png
1,梦幻,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2bC/056.png
1,锹农炮虫V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1.5C/017.png
1,伊裴尔塔尔,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSDC/012.png
1,智挥猩,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1.5C/036.png
4,博士的研究,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/403.png
3,老大的指令,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/406.png
1,奇巴纳,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4aC/125.png
4,高级球,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/375.png
4,能量转移,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/366.png
4,先机球,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/010.png
2,离洞绳,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3DC/127.png
1,宝可梦交替,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/377.png
1,潮漩扇,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3bC/105.png
1,重置印章,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2DC/271.png
2,常青森林,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2DC/341.png
4,坚韧斗篷,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS2aC/105.png
5,基本恶能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/DAR.png
4,极光能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/024.png
1,基本火能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/FIR.png
1,基本雷能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/LIG.png
