QTY,Name,Type,URL
4,叉字蝠V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS2bC/074.png
3,无极汰那V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS2bC/092.png
3,无极汰那VMAX,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS2bC/093.png
2,扒手猫,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/271.png
2,酷豹,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/272.png
2,瓦斯弹,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1.5C/027.png
2,伽勒尔 双弹瓦斯,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS1.5C/028.png
2,伽勒尔 火焰鸟V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3.5C/041.png
1,胡帕,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS2bC/089.png
1,酷豹V,Pokémon,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3aC/090.png
3,博士的研究,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/403.png
3,老大的指令,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/406.png
3,玛俐,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/022.png
1,聂梓,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS2bC/110.png
4,宝可梦通信,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2DC/265.png
4,先机球,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/010.png
2,宝可梦交替,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/377.png
2,高级球,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/375.png
2,能量转移,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS4DaC/366.png
1,潮漩扇,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3bC/105.png
1,离洞绳,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS3DC/127.png
2,混沌潮漩,Trainer,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSM2.5C/057.png
7,基本恶能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CSAC/DAR.png
3,潜行【恶】能量,Energy,https://miku-obs.obs.cn-north-4.myhuaweicloud.com/ptcg/img/CS2bC/115.png
